ano,id_eleicao,tipo_eleicao,data_eleicao,sigla_uf,id_municipio,id_municipio_tse,cargo,vagas
2024,619,eleicao ordinaria,2024-10-06,RO,1100924,809,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1100940,680,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1100940,680,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101005,612,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101005,612,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101104,493,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101104,493,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101203,604,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101203,604,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101302,574,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101302,574,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101401,663,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101401,663,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101435,744,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101435,744,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101450,701,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101450,701,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101468,787,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101468,787,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101476,728,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101476,728,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101484,710,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101484,710,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101492,795,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101492,795,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101500,582,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101500,582,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101559,752,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101559,752,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101609,590,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101609,590,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101708,566,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101708,566,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101757,698,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101757,698,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101807,558,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RO,1101807,558,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200013,1120,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200013,1120,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200054,1570,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200054,1570,prefeito,1
